ID,RA,e_RA,DEC,e_DEC,Sint,e_Sint,Spk,e_Spk,MAJAX,e_MAJAX,MINAX,e_MINAX,PA,e_PA,Island_RMS,S_Code,Mosaic_Name
J121044.0+502255,182.6834,2.4,50.38208,2.5,33.7,7.1,30.3,4.8,27.7,3.6,25.1,3.0,-0.9,53.7,3.7,S,R37D64
J121103.0+502903,182.76266,2.4,50.48424,2.9,592.2,59.4,68.7,7.7,102.6,5.6,36.1,1.4,61.4,3.6,3.6,M,R37D64
J121107.1+503609,182.77975,2.4,50.60256,2.3,55.7,7.9,37.3,5.2,33.4,3.5,28.0,2.6,61.0,25.4,3.4,S,R37D64
J121126.8+504225,182.86182,2.0,50.70721,2.0,125.6,13.8,131.6,13.6,24.8,0.6,24.1,0.6,17.5,34.7,3.4,S,R37D64
J121127.3+505250,182.86385,2.0,50.88064,2.0,963.1,96.5,860.0,86.1,26.9,0.1,26.0,0.1,69.4,5.3,3.3,C,R37D64
J121130.3+505253,182.87642,2.0,50.88153,2.0,1041.0,104.3,994.8,99.5,26.0,0.1,25.1,0.1,-63.8,4.4,3.3,C,R37D64
J121130.9+505738,182.87904,2.1,50.9606,2.1,74.8,9.4,73.3,8.0,25.8,1.2,24.7,1.1,-37.7,44.1,3.3,S,R37D64
J121136.4+505540,182.90173,2.3,50.92798,2.5,62.7,8.2,38.6,5.2,37.1,3.8,27.4,2.2,-18.8,14.7,3.3,S,R37D64
J121141.0+501017,182.92102,2.3,50.17145,3.7,354.7,37.2,76.7,8.5,94.1,7.6,24.5,1.0,72.7,3.7,3.6,M,R37D64
J121156.9+511110,182.98749,2.0,51.18616,2.0,558.2,56.4,481.6,48.3,28.2,0.2,24.4,0.2,24.8,2.3,3.4,M,R37D64
J121219.8+504753,183.08253,2.0,50.79826,2.0,1573.4,157.6,1223.0,122.3,30.5,0.1,24.9,0.1,71.6,0.7,3.4,M,R37D64
J121225.1+503145,183.10493,2.5,50.52926,2.9,34.2,6.8,25.8,4.5,32.0,5.0,25.9,3.4,-16.9,31.2,3.5,S,R37D64
J121231.7+494514,183.13245,2.2,49.75409,2.3,50.5,7.9,41.6,5.6,28.9,2.7,26.3,2.3,-12.9,41.5,3.6,S,R37D64
J121241.0+493008,183.17084,2.1,49.50232,2.1,72.2,9.5,64.5,7.4,28.0,1.7,25.0,1.3,23.6,20.5,3.6,S,R38D63
J121259.0+505312,183.2459,2.0,50.88682,2.0,556.9,56.0,551.3,55.2,25.4,0.2,24.8,0.2,-23.6,10.9,3.5,S,R37D64
J121300.6+512934,183.25267,2.0,51.4929,2.0,88.4,10.6,86.7,9.3,25.8,1.0,24.7,1.0,78.3,35.6,3.4,S,R37D64
J121302.0+495100,183.25851,2.0,49.85027,2.0,108.4,12.4,100.6,10.7,26.9,1.0,25.1,0.9,37.2,22.1,3.5,S,R37D64
J121303.5+513853,183.26498,2.3,51.64822,2.3,38.8,7.1,35.4,5.0,26.7,2.7,25.6,2.5,71.2,90.0,3.4,S,R37D64
J121309.3+502536,183.28914,2.1,50.42687,2.0,156.4,16.6,108.2,11.4,34.5,1.3,26.2,0.8,60.6,6.3,3.4,S,R37D64
J121329.1+504430,183.37138,2.0,50.74181,2.0,178.1,18.8,178.9,18.2,25.5,0.5,24.4,0.5,23.3,19.0,3.4,S,R37D64
J121336.9+492046,183.40408,2.0,49.34627,2.0,209.6,21.8,163.7,16.8,31.1,0.7,25.8,0.5,21.4,4.1,3.5,S,R38D63
J121337.7+503601,183.40724,2.1,50.60047,2.2,52.5,7.9,48.4,6.0,26.9,2.0,25.2,1.8,6.1,47.8,3.4,S,R37D64
J121341.0+501807,183.42094,2.0,50.30218,2.0,372.1,37.7,355.2,35.7,25.8,0.3,25.4,0.2,-20.3,28.5,3.4,S,R37D64
J121341.8+494149,183.42436,2.3,49.69695,2.3,43.5,7.2,35.6,5.0,28.9,3.0,26.5,2.5,-36.6,47.4,3.4,S,R38D63
J121352.3+495058,183.46796,2.3,49.84947,2.4,27.8,6.6,28.8,4.4,26.2,3.3,23.0,2.5,-0.8,39.6,3.4,S,R37D64
J121357.7+494739,183.4908,2.1,49.79434,2.0,201.5,21.7,121.1,12.6,36.2,1.4,23.4,0.6,0.3,3.7,3.4,M,R38D63
J121404.8+515021,183.5202,2.1,51.83928,2.2,132.0,14.2,72.4,8.1,39.5,2.2,28.9,1.3,14.9,8.7,3.4,S,R37D64
J121405.5+502846,183.52333,2.0,50.47967,2.0,826.2,83.0,739.1,74.0,26.9,0.1,25.0,0.1,-6.0,2.6,3.4,M,R37D64
J121407.4+494045,183.53108,2.0,49.67937,2.1,118.9,13.1,87.6,9.4,33.7,1.5,25.2,0.9,12.8,5.2,3.3,S,R38D63
